Brand,Model,Type,What Makes It Good,My Experience,Main Features,My Rating,About Brand,Best For,Image URL,Affiliate Link,Features,Our Review,Pros,Cons,Demo
Walrus Audio,Canvas Power 22 Link,Power Supply,"This power supply is all about clean, reliable power. With multiple outputs and chaining capabilities, it’s a lifesaver for bigger boards.","I added the Power 22 to my rig for a festival gig, and not one pedal acted up. Zero noise, zero hassle—it’s the peace of mind every pedalboard needs.","Dual 2.1mm barrel outputs, 22 watts of total power, and chaining for multiple units.",9/10,Walrus Audio doesn’t just do effects—they make gear that solves real-world problems for gigging musicians.,All Genres,https://www.thomann.de/prodbilder/599413.jpg,https://www.thomann.de/de/walrus_audio_canvas_power_22_link.htm,,,,,
Walrus Audio,Canvas Power HP,Power Supply,The Canvas Power HP is designed for high-power needs. It can handle power-hungry pedals and keeps your signal chain running smoothly.,"I plugged in my power-hungry reverb and delay pedals, and this supply didn’t even flinch. It’s a beast for modern, feature-packed pedals.","24-watt output, universal compatibility, and compact, rugged design.",9/10,"Walrus Audio’s power solutions are as well-thought-out as their effects. Reliable and gig-ready, they’re a must for serious players.",All Genres,https://www.thomann.de/prodbilder/599437.jpg,https://www.thomann.de/de/walrus_audio_canvas_power_hp.htm,,,,,
Walrus Audio,Phoenix,Power Supply,"The Phoenix is a premium isolated power supply for large pedalboards. With 15 outputs, it’s perfect for keeping even the busiest setups noise-free.","My board runs 12 pedals, and this bad boy handled them all. No hum, no hiss—just pristine power. Worth every penny if you value your tone.","15 isolated outputs, adjustable voltage, and ultra-quiet operation.",10/10,Walrus Audio caters to serious tone enthusiasts with their Phoenix power supply. It’s built to last and handles even the most demanding setups.,All Genres,https://www.thomann.de/prodbilder/376488.jpg,https://www.thomann.de/de/walrus_audio_phoenix.htm,,,,,
Walrus Audio,Canvas Power 5,Power Supply,"The Canvas Power 5 is a compact isolated power supply perfect for small or medium boards. Simple, clean, and super dependable.","I used the Power 5 on a fly rig, and it was a lifesaver. It’s tiny but mighty—kept my essential pedals running smoothly during a tight setup.","Five isolated outputs, compact design, and low-noise operation.",8.5/10,Walrus Audio’s Canvas line proves that you don’t need to sacrifice quality for convenience. Perfect for grab-and-go setups.,All Genres,https://www.thomann.de/prodbilder/591465.jpg,https://www.thomann.de/de/walrus_audio_canvas_power_5.htm,,,,,
Walrus Audio,Canvas Power 8,Power Supply,"The Canvas Power 8 is for players who need more outputs without going overboard. Isolated, noise-free, and built like a tank.","I added the Power 8 to expand my pedalboard, and it’s been flawless. It’s like the quiet, reliable friend every rig needs. :)","Eight isolated outputs, compact form factor, and robust construction.",9/10,"Walrus Audio continues to deliver reliable, musician-focused solutions. The Canvas Power 8 is an excellent choice for mid-sized boards.",All Genres,https://www.thomann.de/prodbilder/591466.jpg,https://www.thomann.de/de/walrus_audio_canvas_power_8.htm,,,,,
Walrus Audio,Canvas Power 15,Power Supply,"The Canvas Power 15 is a beast for big boards. With 15 isolated outputs, it can handle almost anything you throw at it while staying dead silent.","I took the Power 15 on tour, powering my massive pedalboard, and it performed flawlessly. No hum, no drama—just pure, clean power every single night.","15 isolated outputs, adjustable voltage, ultra-quiet operation.",10/10,"Walrus Audio’s commitment to quality extends beyond effects to essential gear like power supplies, ensuring your rig always sounds its best.",All Genres,https://www.thomann.de/prodbilder/591468.jpg,https://www.thomann.de/de/walrus_audio_canvas_power_15.htm,,,,,
Walrus Audio,Canvas Power 22,Power Supply,The Canvas Power 22 delivers high-wattage performance for demanding setups. Perfect for rigs with multiple power-hungry digital pedals.,"I paired this with my synths and effects pedals, and it didn’t miss a beat. It’s built for modern, power-hungry gear—no noise, no worries.","Two high-current outputs, daisy-chain capability, rugged and compact design.",9/10,"Walrus Audio’s Canvas line proves they know what musicians need: reliable, high-quality power supplies built for real-world use.",All Genres,https://www.thomann.de/prodbilder/591469.jpg,https://www.thomann.de/de/walrus_audio_canvas_power_22.htm,,,,,
Walrus Audio,Canvas Power 8 Link,Power Supply,The Canvas Power 8 Link is an expandable solution for mid-sized boards. Combine it with other Canvas supplies for a truly custom setup.,"I linked this to a Power HP and suddenly had the perfect setup for both my main pedals and backups. It’s flexible, quiet, and super easy to integrate.","Eight isolated outputs, linkable design, compact and durable housing.",9/10,Walrus Audio’s expandable power supplies are designed with modern players in mind. They’re as practical as they are reliable.,All Genres,https://www.thomann.de/prodbilder/599408.jpg,https://www.thomann.de/de/walrus_audio_canvas_power_8_link.htm,,,,,
Walrus Audio,Canvas Power 15 Link,Power Supply,The Canvas Power 15 Link offers expandability and power galore. It’s made for serious rigs with a lot of pedals.,"I added this to my studio rig, and now everything is powered cleanly and quietly. It’s expandable design makes future upgrades a breeze.","15 isolated outputs, linkable design, adjustable voltage, and zero noise.",10/10,Walrus Audio doesn’t just stop at great sound—they help you keep it consistent with high-quality power options like this one.,All Genres,https://www.thomann.de/prodbilder/599412.jpg,https://www.thomann.de/de/walrus_audio_canvas_power_15_link.htm,,,,,
Walrus Audio,Canvas Power HP Link,Power Supply,"High-power needs? No problem. The Canvas Power HP Link lets you daisy-chain for expanded, high-wattage setups.","I used this to power my MIDI controller and a row of digital pedals, and it didn’t even blink. It’s a problem-solver for complex, high-current rigs.","High-wattage output, linkable, compact and road-ready.",9.5/10,Walrus Audio continues to innovate with power solutions that work seamlessly for demanding players and producers alike.,All Genres,https://www.thomann.de/prodbilder/599441.jpg,https://www.thomann.de/de/walrus_audio_canvas_power_hp_link.htm,,,,,
Walrus Audio,MAKO R1 MKII,Reverb,The MAKO R1 MKII is a reverb powerhouse. Six lush reverb algorithms plus presets and MIDI make it perfect for creative soundscaping.,"I used the R1 MKII on a live ambient set, and the audience asked me afterwards what magic I was using. True story. It’s incredibly versatile and easy to tweak mid-song.","Six reverb algorithms, MIDI control, presets, stereo I/O, modulation, and tap tempo.",10/10,"Walrus Audio’s MAKO line is all about flexibility and high-quality sound, and the R1 MKII is no exception. Perfect for studio and stage alike.","Ambient, Worship, Post-Rock",https://www.thomann.de/prodbilder/601079.jpg,https://www.thomann.de/de/walrus_audio_mako_r1_mkii.htm,,,,,
Walrus Audio,Fathom,Reverb,"The Fathom is a compact, versatile reverb pedal with four stunning modes that range from subtle ambiance to massive, cinematic trails.","I used the Fathom during a solo set, and the Hall mode turned my simple playing into something massive. It’s the kind of pedal that makes you want to play more.","Four reverb modes (Hall, Plate, Lo-fi, Sonar), modulation, sustain switch, and compact design.",9/10,"Walrus Audio balances simplicity and creativity in the Fathom. It’s easy to use, sounds fantastic, and inspires at every turn.","Ambient, Post-Rock, Shoegaze",https://www.thomann.de/prodbilder/430983.jpg,https://www.thomann.de/de/walrus_audio_fathom.htm,,,,,
Walrus Audio,Slö Multi Texture Reverb,Reverb,"The Slö specializes in ambient, dreamy reverb. With multiple modes and lush textures, it’s like an instant atmosphere generator.","I used the Slö during a songwriting session, and it practically wrote the melody for me. Every note sounded ethereal—it’s a pedal that pulls you into its world.","Three reverb modes (Dark, Rise, Dream), sustain switch, adjustable trails, and compact housing.",9.5/10,Walrus Audio knows how to create pedals that transport you somewhere else entirely. The Slö is the ultimate tool for ambient lovers.,"Ambient, Soundscapes, Shoegaze",https://www.thomann.de/prodbilder/464165.jpg,https://www.thomann.de/de/walrus_audio_sloe_multi_texture_reverb.htm,,,,,
Walrus Audio,R1 Reverb Black,Reverb,"The R1 Reverb Black is a limited-edition version of the MAKO R1, offering the same lush algorithms in a sleek, blacked-out casing.","I snagged this limited edition for my collection, and it’s not just a looker—it’s one of the most versatile reverbs I’ve ever used. Great for both subtle and wild effects.","Six reverb algorithms, MIDI control, presets, stereo I/O, modulation, and tap tempo.",10/10,"Walrus Audio’s MAKO series keeps setting the standard for professional-grade pedals, and this blacked-out version brings style to the table too.","Worship, Post-Rock, Ambient",https://www.thomann.de/prodbilder/511876.jpg,https://www.thomann.de/de/walrus_audio_r1_reverb_black.htm,,,,,
Walrus Audio,LORE Soundscape Generator,Reverb,"LORE turns your sound into a cinematic experience. With cascading delays and reverbs, it creates otherworldly textures perfect for ambient vibes.","I tried the LORE during a jam session, and it felt like I was scoring a sci-fi movie. Every knob twist unveiled something new—it’s like a playground for sound nerds.","Cascading delay and reverb paths, five unique soundscape modes, and expression control for real-time manipulation.",10/10,Walrus Audio excels at creating pedals that redefine your approach to tone. The LORE is for those who want to explore uncharted sonic territories.,"Experimental, Ambient, Cinematic",https://www.thomann.de/prodbilder/545386.jpg,https://www.thomann.de/de/walrus_audio_lore_soundscape_generator.htm,,,,,
Walrus Audio,Fable Soundscape Generator,Reverb,"The Fable combines reverse delay and granular textures into one pedal. It’s perfect for creating dreamy, experimental soundscapes.","I paired the Fable with a looper, and the granular delay made everything sound like a haunting movie soundtrack. It’s pure creativity in pedal form.","Reverse delay, granular processing, five programs, and stereo I/O.",9.5/10,"Walrus Audio pushes the envelope with pedals like the Fable, designed to turn your ideas into something entirely new and unexpected.","Ambient, Post-Rock, Experimental",https://www.thomann.de/prodbilder/561929.jpg,https://www.thomann.de/de/walrus_audio_fable_soundscape_generator.htm,,,,,
Walrus Audio,Fundamental Reverb,Reverb,"The Fundamental Reverb keeps things simple with three straightforward modes: Hall, Plate, and Room. Great for those who like no-fuss effects.","I grabbed the Fundamental Reverb for a gig, and it was a total plug-and-play dream. Room mode added just enough life to my tone without getting in the way.","Three selectable modes (Hall, Plate, Room), blend control, and a beginner-friendly layout.",8/10,"Walrus Audio’s Fundamental series makes boutique tones more accessible, with simple designs and wallet-friendly prices.","Pop, General Use",https://www.thomann.de/prodbilder/564323.jpg,https://www.thomann.de/de/walrus_audio_fundamental_reverb.htm,,,,,
Walrus Audio,Slöer Ambient Reverb Black,Reverb,"The Slöer Black offers lush, dual-reverb textures in a sleek, limited-edition black finish. Perfect for ambient players looking to stand out.","I used the Slöer Black during a live set, and the stereo spread filled the room beautifully. Plus, it looks just as stunning as it sounds.","Dual-reverb engine, stereo I/O, three reverb modes, modulation, and sustain features.",9.5/10,Walrus Audio knows how to create pedals that are as visually striking as they are tonally inspiring. The Slöer Black is no exception.,"Ambient, Shoegaze, Post-Rock",https://www.thomann.de/prodbilder/572072.jpg,https://www.thomann.de/de/walrus_audio_sloeer_ambient_reverb_black.htm,,,,,
Walrus Audio,Slöer Ambient Reverb Blue,Reverb,"The Slöer Blue offers the same gorgeous, dual-reverb textures as the Black version, but in a striking blue finish. It’s all about the details.","I used the Slöer Blue to create ethereal swells for a ballad, and the Dream mode felt like floating on a cloud. The blue finish is a conversation starter too!","Dual-reverb engine, stereo I/O, three reverb modes, modulation, and sustain features.",9.5/10,Walrus Audio continues to impress with pedals that are equal parts art and innovation. The Slöer Blue stands out on any pedalboard.,"Cinematic, Post-Rock, Ambient",https://www.thomann.de/prodbilder/572133.jpg,https://www.thomann.de/de/walrus_audio_sloeer_ambient_reverb_blue.htm,,,,,
Walrus Audio,Fable BLK Soundscape Generator,Reverb,"The Fable BLK is a limited-edition version of the Fable, combining reverse delays and granular textures in a bold black finish.","I snagged this version for my collection, and it immediately became my go-to for creating haunting, experimental layers. It’s a pedal that invites you to break rules.","Reverse delay, granular processing, five programs, and stereo I/O, all in a sleek black design.",9.5/10,Walrus Audio knows how to elevate a design with limited editions like the Fable BLK—perfect for collectors and sound explorers alike.,"Ambient, Experimental, Soundscapes",https://www.thomann.de/prodbilder/587282.jpg,https://www.thomann.de/de/walrus_audio_fable_blk_soundscape_generator.htm,,,,,
Walrus Audio,Fundamental Ambient Reverb,Reverb,This pedal is all about entry-level ambient reverb. It’s simple but delivers dreamy textures for players on a budget.,"I tried this on my acoustic rig, and it added just the right amount of dreamy trail to make my simple strumming sound otherworldly.","Three ambient reverb modes, blend control, and an easy-to-use interface.",8.5/10,Walrus Audio’s Fundamental series is perfect for musicians who want boutique-level tone without the boutique-level price tag.,"Pop, Alternative, Ambient",https://www.thomann.de/prodbilder/588240.jpg,https://www.thomann.de/de/walrus_audio_fundamental_ambient_reverb.htm,,,,,
Walrus Audio,MAKO ACS1 MK II,Other,The MAKO ACS1 MK II offers premium amp and cab simulations in a pedalboard-friendly format. Perfect for going direct to the board or studio.,"I used the ACS1 MK II in a studio session, and it fooled the engineer into thinking I was mic’d up through a vintage amp. It’s that good.","Stereo amp and cab simulations, MIDI control, presets, and IR loading.",10/10,Walrus Audio’s MAKO series continues to deliver pro-level solutions for players who demand flexibility and incredible tone.,"Blues, Rock, Studio Use",https://www.thomann.de/prodbilder/601049.jpg,https://www.thomann.de/de/walrus_audio_mako_acs1_mk_ii.htm,,,,,
Walrus Audio,ACS1 Amp+Cab Simulator,Other,"The ACS1 is an all-in-one amp and cab sim pedal. It’s versatile, easy to use, and works great in any live or recording situation.","I tested the ACS1 at a silent rehearsal, and it felt just like playing through my real amp. It’s compact, reliable, and sounds amazing.","Stereo amp and cab simulations, multiple amp voicings, and IR loading capabilities.",9.5/10,Walrus Audio’s approach to amp simulation is as creative and thoughtful as their effects. The ACS1 is a must-have for direct players.,"Classic Rock, Blues, Jazz",https://www.thomann.de/prodbilder/511898.jpg,https://www.thomann.de/de/walrus_audio_acs_1_ampcab_simulator.htm,,,,,
Walrus Audio,Canvas Re-Amp,Other,"The Canvas Re-Amp makes reamping tracks simple, clean, and professional. It’s compact, reliable, and easy to integrate into your setup.","I used this for reamping guitar tracks in my home studio, and the results were flawless. It saved me hours of frustration with gain staging.","Passive reamping tool with balanced XLR and TS connections, rugged and portable design.",9/10,"Walrus Audio doesn’t just do effects—they create tools that solve real-world studio and gigging problems, and the Canvas Re-Amp is a shining example.","Studio Use, All Genres",https://www.thomann.de/prodbilder/568816.jpg,https://www.thomann.de/de/walrus_audio_canvas_re_amp.htm,,,,,
Walrus Audio,Monumental Tremolo,Tremolo,"The Monumental Tremolo delivers rich, harmonic tremolo tones with tap tempo and wave shape control. It’s vintage meets modern in all the right ways.","I used the Monumental Tremolo on a surf rock track, and the harmonic mode made my tone shimmer. It’s versatile and has just enough quirk to keep things interesting.","Harmonic and standard tremolo modes, tap tempo, wave shape adjustment, and stereo I/O.",9/10,Walrus Audio’s Monumental Tremolo is a testament to their ability to balance vintage inspiration with modern innovation.,"Country, Surf Rock, Blues",https://www.thomann.de/prodbilder/590227.jpg,https://www.thomann.de/de/walrus_audio_monumental_tremolo.htm,,,,,
Walrus Audio,Canvas Power 5 Link,Other,"The Canvas Power 5 Link is a compact, expandable power supply for small and medium boards. Clean, reliable power for up to five pedals.","I used this on my grab-and-go board, and the daisy-chain expandability made adding pedals a breeze. It’s tiny but packs a serious punch.","Five isolated outputs, expandable via linking, compact design.",8.5/10,"Walrus Audio’s power supplies are as reliable as their effects pedals—practical, quiet, and built for the road.",All Genres,https://www.thomann.de/prodbilder/599399.jpg,https://www.thomann.de/de/walrus_audio_canvas_power_5_link.htm,,,,,
Walrus Audio,Canvas Stereo,Other,The Canvas Stereo is a passive DI box that simplifies running stereo setups. Perfect for live rigs and studio applications alike.,"I ran my stereo delay and reverb chain through this during a live set, and the sound tech was thrilled. Clean, balanced signal with zero headaches.","Passive stereo DI, balanced XLR outputs, and rugged metal housing.",9/10,Walrus Audio’s Canvas series provides utility gear that every gigging musician or studio enthusiast needs.,"Studio Use, All Genres",https://www.thomann.de/prodbilder/541978.jpg,https://www.thomann.de/de/walrus_audio_canvas_stereo.htm,,,,,
Walrus Audio,Canvas Mono,Other,The Canvas Mono offers the same DI functionality as the stereo version but focuses on mono setups. Great for simpler rigs or bass players.,"I used the Canvas Mono for a bass session, and it delivered punchy, clear tone straight into the board. Lightweight and dead easy to use.","Passive mono DI, balanced XLR output, compact and durable design.",9/10,Walrus Audio designs their Canvas line with one goal in mind: making musicians’ lives easier while maintaining top-notch quality.,"Studio Use, All Genres",https://www.thomann.de/prodbilder/541984.jpg,https://www.thomann.de/de/walrus_audio_canvas_mono.htm,,,,,
Walrus Audio,Fundamental Fuzz,Fuzz,The Fundamental Fuzz delivers classic fuzz tones with three modes to cover vintage to modern flavors. Simple and super affordable.,I picked this up for a small gig and was blown away by the aggressive yet controllable tones. Great for beginners or anyone who just loves fuzz.,"Three selectable modes (classic, mid-boosted, and gated), simple controls, and rugged construction.",8/10,Walrus Audio’s Fundamental series proves you don’t need to spend a fortune to sound good. A great entry point into boutique pedals.,"Rock, Alternative, Garage Rock",https://www.thomann.de/prodbilder/564327.jpg,https://www.thomann.de/de/walrus_audio_fundamental_fuzz.htm,,,,,
Walrus Audio,Voyager,Overdrive,"The Voyager is a transparent overdrive with a boost-like feel. It enhances your tone without coloring it, making it versatile for any rig.","I used this for stacking with another overdrive, and the clarity it added was insane. My tone felt “polished” but still raw enough for rock.","Gain, tone, and volume controls, transparent overdrive, and boost-style flexibility.",9/10,Walrus Audio knows how to make overdrives that are both versatile and musical. The Voyager is no exception.,"Classic Rock, Blues, Pop",https://www.thomann.de/prodbilder/370285.jpg,https://www.thomann.de/de/walrus_audio_voyager.htm,,,,,
Walrus Audio,Kangra Fuzz FX,Fuzz,"The Kangra combines fuzz and a filter, letting you sculpt tones from gritty to wah-like sweeps. It’s like a fuzz and synth in one box.","I used the Kangra to create synth-like leads, and it turned my guitar into a fuzzed-out beast. It’s quirky but incredibly fun to experiment with.","Vintage fuzz circuit, adjustable filter, and true bypass.",9/10,Walrus Audio’s Kangra Fuzz FX is for those who want their fuzz to have a little extra personality and sonic flexibility.,"Psychedelic Rock, Funk, Experimental",https://www.thomann.de/prodbilder/469914.jpg,https://www.thomann.de/de/walrus_audio_fuzz_fx.htm,,,,,
Walrus Audio,Ages Overdrive,Overdrive,"The Ages Overdrive features five clipping modes, making it one of the most versatile drives on the market. Perfect for any genre or rig.",I tested this at a rehearsal and couldn’t believe how well it worked for both bluesy rhythm and modern rock leads. It’s a one-stop shop for overdrive tones.,"Five selectable clipping modes, gain control, and robust build.",9.5/10,Walrus Audio’s Ages Overdrive proves that you don’t need multiple pedals when one can do it all. A true workhorse.,"Blues, Rock, Classic Rock",https://www.thomann.de/prodbilder/494903.jpg,https://www.thomann.de/de/walrus_audio_ages_overdrive.htm,,,,,
Walrus Audio,Eras,Distortion,"The Eras distortion is modern and aggressive, with five voicing modes to handle everything from tight riffs to wall-of-sound chaos.","I used the Eras on a metal track, and it added enough punch to cut through a full mix without losing clarity. It’s a distortion that means business.","Five selectable gain stages, EQ control, and built for high-gain players.",9.5/10,"Walrus Audio designed the Eras for players who want heavy, crushing tones with plenty of control.","Metal, Rock, Hard Rock",https://www.thomann.de/prodbilder/527473.jpg,https://www.thomann.de/de/walrus_audio_eras.htm,,,,,
Walrus Audio,Iron Horse V3,Distortion,"The Iron Horse V3 delivers thick, roaring distortion with added versatility in this updated version. A true classic for heavy tones.","I used the Iron Horse V3 for a punk set, and it nailed everything from chunky rhythm to screaming leads. It’s reliable and doesn’t get lost in the mix.","Three clipping modes, EQ adjustment, and built for high-output distortion.",9/10,Walrus Audio’s Iron Horse is a favorite for those who want distortion that can handle everything from hard rock to heavy metal.,"Metal, Hard Rock, Alternative",https://www.thomann.de/prodbilder/530496.jpg,https://www.thomann.de/de/walrus_audio_iron_horse_v3.htm,,,,,
Walrus Audio,Eons Fuzz,Fuzz,"The Eons is a versatile fuzz pedal with five voicings. It can go from vintage warmth to modern, gated fuzz chaos with ease.","I used this on a doom metal track, and the low-end it delivered was earth-shaking. It’s fuzz for those who demand big, bold tones.","Five fuzz voicings, adjustable voltage for tonal tweaking, and rugged design.",9.5/10,"Walrus Audio consistently delivers fuzz pedals that stand out, and the Eons is no exception—perfect for players who crave variety.","Stoner Rock, Doom Metal, Psychedelic",https://www.thomann.de/prodbilder/553847.jpg,https://www.thomann.de/de/walrus_audio_eons_fuzz.htm,,,,,
Walrus Audio,Fundamental Overdrive,Overdrive,"The Fundamental Overdrive is a no-frills, easy-to-use overdrive with three modes for tonal variety. Great for beginners or minimalist rigs.","I tested this on a jam session, and it added just enough grit to make my clean tone sing. No need for extra bells and whistles—it gets the job done.","Three selectable modes (low, medium, and high gain), simple controls, and rugged construction.",8.5/10,Walrus Audio’s Fundamental series makes boutique-style tones accessible without the complexity. A perfect “set and forget” overdrive.,"Pop, Blues, General Use",https://www.thomann.de/prodbilder/564325.jpg,https://www.thomann.de/de/walrus_audio_fundamental_overdrive.htm,,,,,
Walrus Audio,Melee BLK,Fuzz,"The Melee BLK combines fuzz and delay into one unique, joystick-controlled pedal. It’s bold, experimental, and perfect for sound designers.","I used the Melee BLK to score a short film, and the joystick control made dialing in chaotic, cinematic textures incredibly fun. It’s a creative powerhouse.","Joystick control, fuzz and delay combination, and sleek black finish.",9.5/10,"Walrus Audio’s Melee BLK redefines what a pedal can be, combining innovative control and jaw-dropping tones for creative players.","Experimental, Post-Rock, Shoegaze",https://www.thomann.de/prodbilder/587284.jpg,https://www.thomann.de/de/walrus_audio_melee_blk.htm,,,,,
TC Electronic,Thunderstorm Flanger,Flanger,"The Thunderstorm Flanger is a classic-style analog flanger pedal with rich, jet-like sweeps. It’s perfect for vintage and rock tones.","I used this on a ‘70s rock cover, and it added just the right amount of swirling thickness to my solos. It’s simple but incredibly effective.","Analog flanger, easy-to-use controls, compact design, and true bypass.",8.5/10,"TC Electronic specializes in offering high-quality effects at prices that don’t break the bank, making them a favorite for players of all levels.","Classic Rock, Psychedelic Rock",https://www.thomann.de/prodbilder/400165.jpg,https://www.thomann.de/de/tc_electronic_thunderstorm_flanger.htm,,,,,
